-0.88068,-0.098121,-4.5954,0.12497,-2.7888,0.54403,-1.6994,-0.63361,-0.23099,0.39224,1.3969,-0.46981,2.7387,-0.19746,2.4046,-0.30145,1.2864,-0.99159,-0.87141,-1.5556,-2.1245,-2.0587,-4.7645,-2.0634,-6.5222,-0.12891,-5.7376,-0.29035,-6.3104,-0.94526,-0.694,-0.1393,-3.784,-0.57838,-2.316,-0.10239,-3.8679,-0.072494,-1.4287,0.88445
0.73554,0.038489,0.96906,-1.5906,0.88849,-1.9114,0.81653,1.0949,0.67581,-1.7906,0.5453,-1.1951,0.40421,-0.25568,0.4431,0.89683,0.55534,1.2228,0.73437,1.3518,0.8479,1.4314,0.97508,1.4321,1.0311,0.69307,1.0068,-0.4691,1.0245,1.2089,0.71034,0.71113,0.93681,1.0693,0.8605,0.022246,0.94039,0.55206,0.79347,-2.2032
-1.2424,-1.6607,1.8603,-3.6004,0.41437,-3.8483,-0.52611,1.1829,-1.8878,-3.7584,-3.2539,-3.2496,-4.5174,-2.1286,-4.1935,0.31095,-3.1547,1.9569,-1.2548,2.9797,-0.23538,3.8037,1.9643,3.8112,2.2458,-0.29811,2.38,-2.429,2.3632,1.8636,-1.512,-0.25317,1.272,1.0491,-0.037386,-1.6878,1.339,-0.63216,-0.696,-4.0498
0.9611,-9.8899,15.4,-16.989,10.117,-17.803,5.6297,3.6722,-2.3983,-17.51,-8.6376,-15.808,-13.427,-11.748,-12.258,-0.15226,-8.2307,6.6585,0.90021,10.294,7.5485,13.035,15.803,13.06,19.308,-3.386,17.884,-12.885,18.943,6.3106,-0.35555,-3.1301,13.273,3.1298,8.3365,-10.001,13.509,-5.1982,4.2584,-18.454
-1.2702,-9.8008,10.966,-13.482,5.4632,-13.75,1.4462,-1.6525,-2.634,-13.662,-4.6166,-12.997,-5.614,-10.875,-5.4394,-4.0721,-4.5044,0.25432,-1.3004,2.0264,3.0965,3.1782,11.414,3.1869,14.599,-5.968,13.661,-11.512,14.496,0.045024,-1.8873,-5.8187,8.6485,-2.005,3.8024,-9.8655,8.8998,-7.0313,0.36792,-13.91
-0.088739,-4.1852,4.1125,-6.7237,1.8389,-7.0474,0.83019,-0.78845,-0.79212,-6.93,-1.6987,-6.2664,-0.85536,-4.802,-1.4159,-1.5409,-1.6682,-0.30059,-0.10427,0.80032,1.1447,1.7105,4.3359,1.7188,6.7908,-2.3042,5.65,-5.196,6.4683,-0.39839,-0.40743,-2.2398,3.0581,-0.87688,1.3278,-4.221,3.1655,-2.7823,0.72092,-7.3114
-3.3953,-1.608,-1.2552,-2.3924,-2.2456,-2.4687,-2.8994,0.18229,-3.6384,-2.4417,-3.9252,-2.2751,-3.9967,-1.8282,-3.9948,-0.42036,-3.9122,0.82756,-3.401,1.7458,-2.6422,1.8775,-1.1743,1.8767,-0.38331,-0.81174,-0.77938,-1.9589,-0.47678,0.74823,-3.5087,-0.78083,-1.6772,0.072937,-2.527,-1.6213,-1.6314,-1.0309,-3.0635,-2.5267
4.2256,2.0636,1.9916,3.1626,2.4602,3.2626,3.3488,-0.016896,4.7253,3.2276,5.43,3.0031,5.7507,2.3734,5.6982,0.53627,5.3918,-0.8014,4.2366,-1.4345,2.9606,-1.6768,1.886,-1.6778,1.9366,0.99746,1.5577,2.5585,1.7345,-0.72738,4.4517,0.95963,2.0229,0.11285,2.8022,2.0822,2.0076,1.2834,3.6202,3.3354
3.3482,0.52835,0.19498,1.9723,1.4955,2.1649,2.4458,-1.7098,3.9329,2.0947,5.0435,1.7046,6.0665,0.87033,5.7988,-1.0632,4.9645,-2.252,3.3603,-2.9846,2.0522,-3.6098,0.081461,-3.6158,-1.1392,-0.55819,-0.57213,1.0907,-0.97611,-2.1864,3.602,-0.5983,0.75133,-1.616,1.8855,0.54826,0.69258,-0.26924,2.7179,2.324
6.9974,0.94236,0.7271,3.8015,3.2835,4.1854,5.1569,-3.4526,8.2589,4.0453,11.073,3.2705,16.46,1.625,14.214,-2.1821,10.837,-4.5314,7.0227,-6.0229,4.3758,-7.3497,0.50737,-7.3626,-1.891,-1.1765,-0.76434,2.0625,-1.5692,-4.4,7.5355,-1.2565,1.8241,-3.2674,4.0475,0.98121,1.7074,-0.61048,5.7031,4.5042
0.34302,1.2491,-0.73226,0.20806,-1.4949,0.025902,-0.44671,-0.50613,0.69052,0.092193,1.1695,0.45032,1.3322,1.0482,1.327,0.077889,1.144,-0.90767,0.35082,-1.3703,-0.85545,-1.6575,-0.6212,-1.6596,0.89756,0.64474,0.11867,0.90788,0.64128,-0.86182,0.50164,0.59831,-1.2004,-0.43163,-1.038,1.2381,-1.1563,0.98642,-0.17986,-0.10954
0.42656,0.61777,-0.93874,1.5796,-0.6892,1.7079,-0.16867,-0.88193,0.77159,1.6611,1.3861,1.4011,1.8965,0.84629,1.7686,-0.45289,1.3443,-1.2427,0.43384,-1.7266,-0.47014,-2.1318,-0.95405,-2.1357,-1.0251,-0.1085,-1.0155,0.99234,-1.027,-1.199,0.57838,-0.13598,-0.84666,-0.81993,-0.59468,0.63106,-0.85762,0.090235,0.029886,1.8138
